  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  5.6600e-13           40.18276318            0.00000000       11983.30686186         -193.90940228        11789.39745957 
  5.6800e-13           40.18116904            0.00000000       11982.83145768         -192.96083599        11789.87062168 
  5.7000e-13           40.17882569            0.00000000       11982.13262584         -191.56501319        11790.56761264 
  5.7200e-13           40.17570686            0.00000000       11981.20252808         -189.70616094        11791.49636714 
  5.7400e-13           40.17180164      6980054.97812251       11980.03791175         -187.37767226        11792.66023950 
  5.7600e-13           40.16711755            0.00000000       11978.64102210         -184.58391783        11794.05710426 
  5.7800e-13           40.16168242            0.00000000       11977.02015824         -181.34134711        11795.67881112 
  5.8000e-13           40.15554913            0.00000000       11975.19108758         -177.68131389        11797.50977369 
  5.8200e-13           40.14879940            0.00000000       11973.17818036         -173.65235526        11799.52582510 
  5.8400e-13           40.14154829            0.00000000       11971.01575465         -169.32290891        11801.69284574 
  5.8600e-13           40.13394839            0.00000000       11968.74931137         -164.78382916        11803.96548221 
  5.8800e-13           40.12619241            0.00000000       11966.43632369         -160.15002779        11806.28629590 
  5.9000e-13           40.11851290            0.00000000       11964.14613859         -155.56034668        11808.58579191 
  5.9200e-13           40.11117728            0.00000000       11961.95850926         -151.17468325        11810.78382601 
  5.9400e-13           40.10447700            0.00000000       11959.96035351         -147.16753714        11812.79281637 
  5.9600e-13           40.09871017      6714649.30450902       11958.24056715         -143.71761241        11814.52295474 
  5.9800e-13           40.09415849            0.00000000       11956.88316574         -140.99400655        11815.88915918 
  6.0000e-13           40.09106025            0.00000000       11955.95920795         -139.13989651        11816.81931144 
  6.0200e-13           40.08958475            0.00000000       11955.51918465         -138.25711955        11817.26206510 
  6.0400e-13           40.08981134            0.00000000       11955.58675666         -138.39346702        11817.19328965 
  6.0600e-13           40.09171805            0.00000000       11956.15537800         -139.53582143        11816.61955657 
  6.0800e-13           40.09518240            0.00000000       11957.18851622         -141.61059774        11815.57791847 
  6.1000e-13           40.09999411            0.00000000       11958.62346441         -144.49147874        11814.13198567 
  6.1200e-13           40.10587736            0.00000000       11960.37796722         -148.01285176        11812.36511546 
  6.1400e-13           40.11251808            0.00000000       11962.35836262         -151.98629272        11810.37206990 
  6.1600e-13           40.11959156            0.00000000       11964.46781668         -156.21719739        11808.25061929 
  6.1800e-13           40.12678646            0.00000000       11966.61348048         -160.51918642        11806.09429405 
  6.2000e-13           40.13382287     12911194.60432145       11968.71188040         -164.72490201        11803.98697839 
  6.2200e-13           40.14046580            0.00000000       11970.69293466         -168.69399796        11801.99893670 
  6.2400e-13           40.14652560            0.00000000       11972.50009028         -172.31333777        11800.18675251 
  6.2600e-13           40.15186566            0.00000000       11974.09260205         -175.50146857        11798.59113348 
  6.2800e-13           40.15640068            0.00000000       11975.44503506         -178.20755425        11797.23748081 
